"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f4b58906-e3ae-4787-871e-1af324202838:6922032627268452481","4:f4b58906-e3ae-4787-871e-1af324202838:262","4:f4b58906-e3ae-4787-871e-1af324202838:129","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6924284427082137729","4:f4b58906-e3ae-4787-871e-1af324202838:269","4:f4b58906-e3ae-4787-871e-1af324202838:129","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847070","4:f4b58906-e3ae-4787-871e-1af324202838:94","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847081","4:f4b58906-e3ae-4787-871e-1af324202838:105","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847091","4:f4b58906-e3ae-4787-871e-1af324202838:115","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847093","4:f4b58906-e3ae-4787-871e-1af324202838:117","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847150","4:f4b58906-e3ae-4787-871e-1af324202838:174","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847165","4:f4b58906-e3ae-4787-871e-1af324202838:189","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847231","4:f4b58906-e3ae-4787-871e-1af324202838:255","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847254","4:f4b58906-e3ae-4787-871e-1af324202838:278","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847277","4:f4b58906-e3ae-4787-871e-1af324202838:301","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847279","4:f4b58906-e3ae-4787-871e-1af324202838:303","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847337","4:f4b58906-e3ae-4787-871e-1af324202838:361","4:f4b58906-e3ae-4787-871e-1af324202838:165","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532287","4:f4b58906-e3ae-4787-871e-1af324202838:63","4:f4b58906-e3ae-4787-871e-1af324202838:24","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6922032627268452376","4:f4b58906-e3ae-4787-871e-1af324202838:205","4:f4b58906-e3ae-4787-871e-1af324202838:24","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847184","4:f4b58906-e3ae-4787-871e-1af324202838:208","4:f4b58906-e3ae-4787-871e-1af324202838:24","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847039","4:f4b58906-e3ae-4787-871e-1af324202838:63","4:f4b58906-e3ae-4787-871e-1af324202838:25","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6919780827454767129","4:f4b58906-e3ae-4787-871e-1af324202838:85","4:f4b58906-e3ae-4787-871e-1af324202838:25","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6922032627268452377","4:f4b58906-e3ae-4787-871e-1af324202838:133","4:f4b58906-e3ae-4787-871e-1af324202838:25","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6924284427082137625","4:f4b58906-e3ae-4787-871e-1af324202838:198","4:f4b58906-e3ae-4787-871e-1af324202838:25","DEPENDE"
