categoria,termo,codigo,nome,ch_teorica,ch_pratica,ch_extensao
ELETIVA,6,8216,BIOMECÂNICA APLICADA À REABILITAÇÃO E AO ESPORTE,36,36,
ELETIVA,6,5933,BIOSSENSORES,56,16,12
ELETIVA,6,5857,BIOTECNOLOGIA AMBIENTAL I,72,0,16
ELETIVA,6,5865,BIOTECNOLOGIA AMBIENTAL II,72,0,12
ELETIVA,6,5858,BIOTECNOLOGIA ANIMAL,72,0,
ELETIVA,6,6088,BIOTECNOLOGIA DE ENERGIAS RENOVÁVEIS I,72,0,12
ELETIVA,6,5863,BIOTECNOLOGIA DE ENERGIAS RENOVÁVEIS II,72,0,12
ELETIVA,6,5867,BIOTECNOLOGIA VEGETAL,64,8,
ELETIVA,6,6666,BLENDAS POLIMÉRICAS,72,0,16
ELETIVA,6,5859,BOTÂNICA E FISIOLOGIA VEGETAL,64,8,
ELETIVA,6,5875,CERÂMICAS REFRATÁRIAS,36,0,
ELETIVA,6,6105,CLASSIFICAÇÃO DE SINAIS BIOLÓGICOS,12,24,
ELETIVA,6,2615,COMPILADORES,36,36,
ELETIVA,6,8532,CONDICIONAMENTO ANALÓGICO DE SINAIS,36,36,
ELETIVA,6,5386,CONTROLE DE SISTEMAS DINÂMICOS,36,36,
ELETIVA,6,7670,CONTROLE DIGITAL,36,36,
ELETIVA,6,5881,CORROSÃO E DEGRADAÇÃO DE MATERIAIS,72,0,8
ELETIVA,6,4381,CULTURA DE CÉLULAS,36,0,
ELETIVA,6,4171,DESAFIOS DE PROGRAMAÇÃO,72,0,
ELETIVA,6,4781,DESENVOLVIMENTO DE APLICAÇÕES ROBÓTICAS,20,52,
INTERDISCIPLINAR,6,8536,DESENVOLVIMENTO DE GAMES,36,36,36
ELETIVA,6,7493,DESENVOLVIMENTO DE NOVOS NEGÓCIOS EM ENGENHARIA BIOMÉDICA,18,18,
ELETIVA,6,8041,DESENVOLVIMENTO INTEGRADO DE PRODUTOS,36,0,
ELETIVA,6,5869,ECOLOGIA AVANÇADA,72,0,
ELETIVA,6,8531,EFEITOS BIOLÓGICOS DAS RADIAÇÕES IONIZANTES,72,0,
ELETIVA,6,6062,ELEMENTOS DE ÁLGEBRA,72,0,
ELETIVA,6,8642,"ELETIVA,- CIDADES: LINGUAGENS, NARRATIVAS E EXPERIÊNCIAS URBANAS",60,0,
ELETIVA,6,8521,ELETRÔNICA,50,22,
ELETIVA,6,5410,"ENERGIA, SOCIEDADE E MEIO AMBIENTE",72,0,
ELETIVA,6,5851,ENGENHARIA BIOQUÍMICA II,72,0,4
ELETIVA,6,5890,ENGENHARIA CERÂMICA,72,0,
ELETIVA,6,6107,ENGENHARIA CLÍNICA HOSPITALAR APLICADA,36,36,16
ELETIVA,6,9689,ENGENHARIA DE MICROESTRUTURA DE METAIS E LIGAS,72,0,
ELETIVA,6,6682,ENGENHARIA DE PRODUTOS CERÂMICOS,72,0,6
ELETIVA,6,2614,ENGENHARIA DE SOFTWARE,36,36,16
ELETIVA,6,6112,ENGENHARIA MÉDICA APLICADA,36,36,
INTERDISCIPLINAR,6,5868,ENGENHARIA TECIDUAL E MEDICINA REGENERATIVA,72,0,20
ELETIVA,6,5387,ENSAIOS DE MATERIAIS,52,20,8
ELETIVA,6,6094,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,72,0,
ELETIVA,6,5871,ESTRUTURA E PROPRIEDADES DE POLÍMEROS,60,12,8
ELETIVA,6,9902,FENÔMENOS DE TRANSPORTE APLICADOS A SISTEMAS BIOLÓGICOS,72,0,
INTERDISCIPLINAR,6,9817,FENÔMENOS ÓPTICOS,36,36,8
ELETIVA,6,5761,FÍSICA MODERNA EXPERIMENTAL,0,72,8
INTERDISCIPLINAR,6,6047,FLUXOS EM REDES,58,14,
ELETIVA,6,9794,FUNDAMENTOS DE ADMINISTRAÇÃO,20,16,
ELETIVA,6,9803,FUNDAMENTOS DE ELETRÔNICA APLICADA,36,0,
ELETIVA,6,5777,FUNDAMENTOS DE MATLAB APLICADO À ENGENHARIA,36,36,
ELETIVA,6,9877,FUNDAMENTOS DE QUÍMICA MEDICINAL,72,0,8
ELETIVA,6,4424,GEOMETRIA ANALÍTICA II,36,0,
