"~id","~labels","termo","codigo","categoria","ch_teorica","nome","ch_pratica","label","ch_extensao"
"4:f4b58906-e3ae-4787-871e-1af324202838:58","UCS",3,"8215","ELETIVA",60,"FISIOLOGIA HUMANA I",12,,
"4:f4b58906-e3ae-4787-871e-1af324202838:59","UCS",3,"4404","INTERDISCIPLINAR",62,"FUNDAMENTOS DE MECÂNICA CELESTE",10,,
"4:f4b58906-e3ae-4787-871e-1af324202838:60","UCS",3,"9819","INTERDISCIPLINAR",36,"INICIAÇÃO AOS PEPICT I",0,,36
"4:f4b58906-e3ae-4787-871e-1af324202838:61","UCS",3,"9820","INTERDISCIPLINAR",36,"INICIAÇÃO AOS PEPICT II",0,,36
"4:f4b58906-e3ae-4787-871e-1af324202838:63","UCS",3,"5845","INTERDISCIPLINAR",0,"LABORATÓRIO DE BIOQUÍMICA",72,,
"4:f4b58906-e3ae-4787-871e-1af324202838:64","UCS",3,"5121","ELETIVA",72,"MICROBIOLOGIA APLICADA E INDUSTRIAL",0,,36
"4:f4b58906-e3ae-4787-871e-1af324202838:66","UCS",3,"9822","ELETIVA",30,"MODELAGEM DE DADOS APLICADA AOS NEGÓCIOS",42,,
"4:f4b58906-e3ae-4787-871e-1af324202838:67","UCS",3,"4774","INTERDISCIPLINAR",36,"MUDANÇA DO CLIMA E SOCIEDADE",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:68","UCS",3,"9903","ELETIVA",18,"NEUROCIÊNCIA APLICADA AO COTIDIANO",18,,
"4:f4b58906-e3ae-4787-871e-1af324202838:69","UCS",3,"6071","ELETIVA",36,"POLÍTICA CIENTÍFICA E TECNOLÓGICA (PC&T)",0,,
"4:f4b58906-e3ae-4787-871e-1af324202838:75","UCS",3,"4537","INTERDISCIPLINAR",36,"TECNOLOGIA E MEIO AMBIENTE",0,,12
"4:f4b58906-e3ae-4787-871e-1af324202838:76","UCS",3,"6072","INTERDISCIPLINAR",36,"TECNOLOGIA SOCIAL: PRÁXIS E CONTRA-HEGEMONIA",0,,
